ma,ten,dvt,don_gia_moi
CV2.5CADIVIXANH,"Dây 2.5 - 0,6/1KV CADIVI (100m/cuộn) Xanh",Mét,5372
CV25CADIVI,"Dây 25 - 0,6/1KV CADIVI (100m/cuộn)",Mét,106788
CV2x1.5 CADIVI,Dây 2x1.5 CVV - 300/500V CADIVI,Mét,5563
CV2x2.5CADIVI,Dây 2x2.5 CVV 300/500V CADIVI,Mét,23192
CV3.5CADIVIDEN,Dây 3.5 (7/0.8)-600V CADIVI (100m/cuộn) Đen,Mét,15917
CV3.5CADIVIDO,Dây 3.5 (7/0.8)-600V CADIVI (100m/cuộn) Đỏ,Mét,15917
CV3.5CADIVITER,Dây CV3.5 - 0.6/1kV - TER,Mét,9814
CV3.5CADIVIVANG,Dây 3.5 (7/0.8)-600V CADIVI (100m/cuộn) Vàng,Mét,10706
CV3.5CADIVIXANH,Dây 3.5 (7/0.8)-600V CADIVI (100m/cuộn) Xanh,Mét,5403
CV35CADIVI,"Dây 35 - 0,6/1KV CADIVI (100m/cuộn)",Mét,147752
CV4.0CADIVIDO,"Dây 4.0 - 0,6/1KV CADIVI (100m/cuộn) Đỏ",Mét,11826
CV4.0CADIVITER,Dây CV4.0-0.6/1kV - AN-NZS-5000.1 - TER,Mét,5718
CV4.0CADIVIXANH,"Dây 4.0 - 0,6/1KV CADIVI (100m/cuộn) - Xanh",Mét,15204
CV5.5CADIVIDO,Dây 5.5 (7/1) - 600V CADIVI(100m/cuộn) Đỏ,Mét,23221
CV5.5CADIVIXANH,Dây 5.5 (7/1) - 600V CADIVI(100m/cuộn) - Xanh,Mét,23221
CV6.0CADIVIDEN,Dây 6.0 - 0.6/1KV CADIVI (100m/cuộn) - Đen,Mét,9606
CV6.0CADIVIĐO,Dây 6.0 - 0.6/1KV CADIVI (100m/cuộn) - Đỏ,Mét,33418
CV6.0CADIVITER,Dây 6.0 - 0.6/1KV CADIVI (100m/cuộn) - TER,Mét,24259
CV6.0CADIVIVANG,Dây 6.0 - 0.6/1KV CADIVI (100m/cuộn) - Vàng,Mét,20778
CV6.0CADIVIXANH,Dây 6.0 - 0.6/1KV CADIVI (100m/cuộn) - Xanh,Mét,16209
CV8CADIVIDO,"Dây 8 (7/1,2) - 600V CADIVI (100m/cuộn) Đỏ",Mét,21894
CV8CADIVITE,"Dây 8 (7/1,2) - 600V CADIVI (100m/cuộn) TE",Mét,36531
CV8CADIVIXANH,"Dây 8 (7/1,2) - 600V CADIVI (100m/cuộn) - Xanh",Mét,20431
CVV2x10CDV,Dây CVV 2x10 Cadivi,Mét,92730
CXV6.4LOICADIVI,Dây cáp 6.0mm 4 lõi CXV 4*6-0.6/1kv CADIVI,Mét,107470
D,Dây,Dây,0
D.0,D,Cái,0
DACAT,Đá Cắt,Cái,1000
DAIINOX114,"Đai, tac kê 114",Bộ,4530
DAIINOX21,"Đai, Vít ,tắc kê 21",Bộ,109
DAIINOX27,"Đai, Vít ,tắc kê 27",Bộ,635
DAIINOX34,"Đai, Vít ,tắc kê 34",Bộ,1413
DAIINOX42,"Đai, tac kê 42",Bộ,2483
DAIINOX49,"Đai, tac kê 49",Bộ,2333
DAIINOX60,"Đai, Vít ,tắc kê 60",Bộ,2393
DAIINOX90,"Đai, tac kê 90",Bộ,2480
DAINAPBONLANH,Nắp bồn lạnh,Bộ,0
DAISENTRON,Đài Sen Tròn,Bộ,125467
DAISENVUONG,Bát Sen vuông,Bộ,125000
DATACAT6Z,Ổ Data Cat6 sizeS ZENCELO A (8431SRJ6V-BZ-G19),Cái,174630
DAUHAN63,Đầu hàn nhiệt 63,Cái,0
DAUHAN75,Đầu hàn nhiệt 75,Cái,0
DAUHANNHIET50,Đầu hàn nhiệt 50,Cái,0
DAYCAP4TTRANG,Dây cấp 4T  trắng,Dây,11571
DAYCAP5TVANG,Dây cấp 5T,Dây,24912
DAYCAPLABOINOX4T,Dây cấp lavabo  INOX  4T,Dây,4549
DAYCAPLANH60,Dây cấp lavabo  INOX  6T,Cái,92890
DAYCAPLANH80,Dây cấp lavabo  INOX  8T,Bộ,53271
DAYCAPNL60,Dây cấp nóng lạnh 60cm,Cái,66666
DAYDIENTHOAI,Dây điện thoại,Mét,3275
DAYMOI,Dây mồi luồn dây điện 10m,Cuộn,0
DAYRUT1T,Dây Rút 1 Tấc,Bịch,4000
DAYRUT2T,Dây Rút 2 Tấc,Bịch,9182
dayrut2tac,Dây rút 2 tấc,Bịch,11000
DAYRUT2Tt,Dây Rút 2 Tấc,Bịch,18000
DAYRUT3T,Dây Rút 3 Tấc,Bịch,13063
dayrut3tac,Dây rút 3 tấc,Bịch,12000
DAYRUT4T,Dây Rút 4 Tấc,Bịch,32000
DAYRUT4TAC,Dây rút 4 tấc,Bịch,32000
DAYRUT5,Dây Rút Tấc 5,Bịch,55000
DAYRUT5T,Dây Rút 5 Tấc,Bịch,79500
DAYRUT5TAC,Dây rút 5 tấc,Bịch,55300
DAYRUT6TAC,Dây rút 6 tấc,Bịch,66667
DAYTV,Dây Tivi SINO - GR6/5C,Mét,2379
DAYTVSINO5C,Dây Ti Vi SINO đen lõi đồng 5C-FB/BC/96/SN,Mét,5219
DAYTVSINOBCTRANG,Dây Ti Vi SINO trắng liền nguồn lõi đồng RG59/BC+2cx0.4SN/SN/TR/SN,Mét,7900
DEAMDOI,Đế âm đôi SINO - SN - 2157/D SN(70 cái/thùng),Cái,5179
DEAMDON,Đế âm đơn SINO SN - S2157 (137 cái/thùng),Cái,2213
DEAMDONVUONG,Đế âm đơn vuông 80x80x42.5 mm Nanoco,Cái,4340
DEAMNGANSINO,Đế âm vuông ngắn SINO,Cái,3431
DEAMSAU,Đế âm vuông sâu SINO,Cái,3990
DEAMVUONGSND,Đế âm vuông cho măt dơn chuẩn anh AvatarOn A3B050 G19 Schnider,Cái,22176
DENBN -1m2,Đèn led bán nguyệt 40w - 1m2,Cái,127994
DENBN-0m6,Đèn led bán nguyệt 25w - 0m6,Cái,90516
DENOIDOISINO,Đế nổi đôi Sino nhựa chữ nhật cao S18;S186-CK157RH,Cái,11186
DENOIDONSINO,Đế nổi đơn Sino nhựa chữ nhật cao S18;S186-CK157RH,Cái,4840
DHNLVN,Đồng hồ nước  nhựa VN,Cái,230000
dl01,Dẻ vụn,Kg,0
DOMINO10,Domino nhựa 10 mm2,Cây,25000
DOMINO16,Domino nhựa 16 mm2,Cây,50000
donghonuocdong,Đồng hồ nước đồng  phú thịnh,Cái,95000
DUOIDENNGOI,Đuôi đèn ngồi - đa năng 2 in 1- 100w - 250V,Cái,9750
DUOIDENXOAYDEN,Đuôi đèn xoáy Đen Lioa,Cái,6097
DUOIDENXOAYTRANG,Đuôi đèn xoáy Trắng Lioa,Cái,5724
DUPE Y75 DN65,Đúp pê Ý  DN65 ( ITALY),Cái,0
GALAXY12D5803,Máy nước nóng NLMT 12 Ø 58 GALAXY 304,Cái,0
GIADOBONCONGNGHIEP,Giá đỡ Inox bồn công nghiệp,Cái,2000000
GUONGDO4116,Gương vuông DO-4116(45x60cm),Cái,351000
GUONGZICOK03,Gương Zico ZC K03 (45*60),Cái,98000
GUONGZICOK06,Gương Zico ZC K06 (45*60),Cái,105000
HAT1CHIEUSINO,Hạt công tắc 1 Chiều Sino S18-S30/1/2M,Cái,9234
HAT2CHIEUSINO,Hạt công tắc 2 Chiều Sino S18-S30M,Cái,13011
HAT2CUCSINO20A,Hạt công tắc 2 Cực Sino 20A - S30MD20,Cái,61570
hdpebm2007.7mm,Ống HDPE BM 200 x 7.7mm,Mét,349250
HOPDUNGMCB2PHA,Hộp đựng MCB 2pha,Cái,13000
HOPGIAY,Hộp Giấy KSH-64,Cái,105000
HOPNOI110SINO,Hộp nối 110 x110 x50 SINO - E265A/2,Cái,9155
HOPNOI150SINO,Hộp nối 150 x150 x50 SINO - E265/3,Cái,42000
HOPNOI160SINO,Hộp nối 160 x160 x50 SINO - E265A/3,Cái,31779
HOPNOI185SINO,Hộp nối 185 x185  x 50 SINO - E265A/43,Cái,70029
HOPNOI200SINO,Hộp nối 200 x 200  SINO,Cái,45560
HOPNOI235x235x80,Hộp nối dây tự chống cháy 235 x 235 x 80 mm không lỗ,Cái,45560
HOPTUANHOAN,Hộp tuần hoàn Inox 304,Hộp,387983
HTD,Hỗ trợ điện,Cây,0
INOX3ZEM,Inox 304 3 Zem,Kg,90610
K,K,Cái,0
K100g,Keo dán ống BM 100gr,Tuýp,20196
K1kg,Keo dán ống BM 1Kg,Hộp,177012
K200g,Keo dán ống BM 200gr,Hộp,22737
K25g,Keo dán ống BM 25gr,Tuýp,6480
K500g,Keo dán ống BM 500gr,Hộp,43645
K500GBMV,Keo dán ống BMV 500gr,Cái,36364
K50g,Keo dán ống BM 50gr,Tuýp,5078
KE2LYVT830,Kệ 2 ly Vạn Tưởng VT830,Cái,700000
KEGOCDUNG1TANG,Kê góc inox 1 tầng,Cái,295000
KEGOCINOX1TANG,Kê góc inox 1 tầng,Cái,125000
KEGOCINOX2TANG222B,Kê góc inox 2 tầng 222B,Cái,1355000
KEGUONG,Kệ Gương KS-KK1,Cái,120000
KEGUONGINOX304,Kê gương inox 304,Cái,180000
KEKHANINOX,Kê khăn inox 304,Cái,217387
KEKINH1081,Kệ kính cường lực D.O,Cái,242000
KEKINH4012,Kệ kính cường lực DO4012(120x500x8),Cái,182000
KEKINHKK1T,Kệ Kính 1 Thanh,Cái,83334
KEOCATONG,Kéo Cắt Ống,Cái,91389
KEP16SINO,Kẹp 16 SINO - E280/16,Cái,300
KEP20SINO,Kẹp 20 SINO - E280/20,Cái,478
KEP21INOX,Hai đầu nối ren ngoài 21 Inox ( Kép 21),Bộ,2213
KEP25SINO,Kẹp 25 SINO - E280/25,Cái,1247
KEP27INOX,Nối 2 đầu RN 27 INOX (KÉP 27),Cái,21730
KEP32SINO,Kẹp 32 SINO - E280/32,Cái,3388
KEPINOX27/21,Nối 2 đầu RN 27 - 21 INOX (KÉP 27/21),Cái,21250
KEPMAYTAM,Kẹp tấm thu năng lượng,Cái,75000
KHOITHUYDANBM114/60,Khởi thủy dán 114 x 60 BM,Cái,6812
KHOITHUYDANBM90/49,Khởi Thủy dán 90x49 BM,Cái,11519
KHUNGINOXM,Khung Inox Máy 304,Khung,0
knp01,Két nước phụ,Cái,360000
KNP20,Két nước phụ 20 Lít - 304,Cái,120000
KNP40,Két nước phụ 40 Lít - 304,Cái,320000
KNP50,Két nước phụ 50 Lít - 304,Cái,377264
KNSD21,Khớp nối sống BM Ø 21 dày,Cái,12528
KNSD27,Khớp nối sống BM Ø 27 dày,Cái,17496
ksv,Khung sắt máy nước nóng (đã sơn),Khung,0
KSVBL,Khung sắt V bồn lạnh (đã sơn),Khung,0
KT20BMVN,Khúc Tránh 20 PPR BM VN,Cái,3789
KT25BMVN,Khúc Tránh 25 PPR BM VN,Cái,7427
KT25PL,Khúc Tránh 25 PPR PIPELIFE,Cái,54450
L.5,L,Cái,0
LAPTRINHTUDONG,Bộ lập trình tự động,Bộ,0
LAVABO+CHAN,Bồn Lavabo + chân treo,Bộ,420000
LCT,Lưỡi cưa tiệp,Cái,2928
LED110/9W_ASTVB-AT10,Đèn LED âm 9W phi 110 ánh sáng trắng viền bạc (AT10) - 12c/1t,Cái,88694
LED110/9W_ASTVV-AT10,Đèn LED âm 9W phi 110 ánh sáng trắng viền vàng (AT10) - 12c/1t,Cái,88695
LED110-7W-AST,Đèn LED âm phi 110 ánh sáng trắng 7W (AT04L),Cái,91960
LED110-9W-AST,Đèn LED âm phi 110 ánh sáng trắng 9W (AT04L),Cái,88480
LED90-7W-AST,Đèn LED âm phi 90 ánh sáng trắng 7W (AT04L),Cái,1725636
LED90-7W-ASV,Đèn LED âm phi 90 ánh sáng vàng 7W (AT04L),Cái,110073
LED90-9W-AST,Đèn LED âm phi 90 ánh sáng trắng 9W (AT04L),Cái,83266
LED90-9W-ASV,Đèn LED âm phi 90 ánh sáng vàng 9W (AT04L),Cái,87780
LEDOPTRAN24WDOIMAU,Đèn Led ốp trần Vuông đồi màu LN12 ĐM 300*300/24W Rạng Đông,Cái,133650
LEDTRON12W,Led tròn 12W S Trắng (LED A70N1/12W) Rạng Đông,Cái,76205
LEDTRON15W,"Led tròn 15W S Trắng (LED A80N1,95N1/15W) Rạng Đông",Cái,55067
LEDTRON20W,"Led tròn 20W S Trắng (LED A95N1,A100,A110N1/20W) Rạng Đông",Cái,82241
LEDTRON30W,Led tròn 30W S Trắng (LED A120N1/30W) Rạng Đông,Cái,121000
LEDTRON7W,Led tròn 7W S Trắng (LED A60N3/7W) Rạng Đông,Cái,29260
LEDTRON9W,Led tròn 9W S Trắng (LED A60N1/9W) Rạng Đông,Cái,34067
LEDTRU20W,Led trụ 20W S Trắng (LED TR80NĐ/20W) Rạng Đông,Cái,68448
LEDTRU30W,Led trụ 30W S Trắng (LED TR100N1/30W) Rạng Đông,Cái,96245
LEDTRU50WPANA,Bóng Led bulb trụ LOTUS 50W PANASONIC,Cái,117250
LEDTUBE10W-0.6,Đèn Led Tube (T8 600/10W) 0m6 Rạng Đông,Cái,72034
LEDTUBE20W-1.2,Đèn Led Tube (T8 1200/20W) 1m2 trắng Rạng Đông,Cái,118329
LOBON27,Lơ Bồn lạnh 27,Bộ,8430
LOBON34,Lơ Bồn lạnh 34,Bộ,15759
LOBON42,Lơ Bồn lạnh 42,Bộ,0
LOBON49,Lơ bồn lạnh 49,Bộ,28000
LOBON60,Lơ Bồn lạnh 60,Bộ,55383
LOI114DPVC-BM,Lơi (Chếch) BM Ø 114 dày,Cái,38987
LOI114MPVC-BM,Lơi (Chếch) BM Ø 114 Mỏng,Cái,22551
LOI140DPVC-BM,Lơi (Chếch) BM Ø 140 dày,Cái,205200
LOI140MPVC-BM,Lơi (Chếch) BM Ø 140 PN6,Cái,42570
LOI168PVC-BM,Lơi (Chếch) BM Ø 168 PN6,Cái,36563
LOI200PVC-BM,Lơi 200 TC BM PN8,Cái,582336
LOI20BM,Chếch (Lơi) 450 Ø 20 PP-R BM,Cái,1108
LOI20PL,Lơi 20 PPR PIPELIFE,Cái,9460
LOI21DPVC-BM,Lơi (Chếch) BM Ø 21 dày,Cái,1430
LOI220PVC-BM,Lơi 220 PVC BM PN6,Cái,511439
LOI25BMVN,Lơi 25 PPR BM VN,Cái,2287
LOI25PL,Lơi 25 PPR PIPELIFE,Cái,12980
LOI25PPR,Chếch (Lơi) 450 Ø 25 PPR đen,Cái,1471
LOI25UV,Lơi PPR 25 UV BM,Cái,2617
LOI27DPVC-BM,Lơi (Chếch) BM Ø 27 dày,Cái,2311
LOI32BMVN,Lơi 32 PPR BM VN,Cái,5761
LOI32DEN,Lơi 32 PPR,Cái,908
LOI32PL,Lơi 32 PPR PIPELIFE,Cái,27060
LOI34DPVC-BM,Lơi (Chếch) BM Ø 34 dày,Cái,3197
LOI40PPR,Chếch (Lơi) 450 Ø 40 PP-R BM,Cái,12744
LOI42DPVC-BM,Lơi (Chếch) BM Ø 42 dày,Cái,4932
LOI49DPVC-BM,Lơi (Chếch) BM Ø 49 dày,Cái,9150
LOI50PPR,Chếch (Lơi) 450 Ø 50 PP-R BM VN,Cái,51821
LOI60DPVC-BM,Lơi (Chếch) BM Ø 60 dày,Cái,7051
LOI60MPVC-BM,Lơi (Chếch) BM Ø 60 mỏng,Cái,5862
LOI63BMVN,Lơi ( Chếch 450) Ø 63 PP-R BM VN,Cái,63632
LOI75BMPPR,Chếch (Lơi) 450 Ø 75 PP-R BM,Cái,152496
LOI75DPVC-BM,Lơi (Chếch) BM Ø 75 dày,Cái,44820
LOI90DH,Lơi (Chếch) ĐH Ø 90 mỏng,Cái,19712
LOI90DPVC-BM,Lơi (Chếch) BM Ø 90 dày PN12,Cái,15203
LOI90MPVC-BM,Lơi (Chếch) BM Ø 90  PN6 Mỏng,Cái,12631
LOI90PPR,Chếch (Lơi) 450 Ø 90 PP-R BM,Cái,181548
LOICHECAUDAO,Lõi che cầu dao an toàn CONCEPT (A301SB-WE-G19),Cái,7018
Longden,Long đền,Cái,400
LOXO20,Lò xo uốn điện ống 20,Cây,47400
LOXO25,Lò xo uốn điện ống 25,Cây,66880
LPN,Lú,Cái,0
LPXD,Lệ phí xăng dầu,Cái,0
LUOIDUONG16,Ống lưới dương Ø16 - 40m/1cuộn,Mét,5618
LUOIDUONG20,Ống lưới dương Ø20 - 45m/1 cuộn (10kg),Mét,8177
LUOIDUONG25,Ống lưới dương Ø25- 45m/1 cuộn (14kg),Mét,11044
LUPBE27DH,Lúp bê 27 ĐH,Cái,3834
LUPBE42ĐH,Lúp Bê 42 ĐH,Cái,0
LUPBE49ĐH,Lúp bê 49 ĐH,Cái,0
LUPBE60ĐH,Lúp bê 60 ĐH,Cái,4546
LUPBED34N,Lúp bê 34 ĐH,Cái,21000
luppe27taijan,Lúp pê 27 taijan,Cái,13495
luppe34taijan,Lúp pê 34 taijan,.Cái,15966
luppe42taijan,Lúp pê 42 taijan,Cái,29750
MA,M,Cái,0
MANGDEN-0M6,Máng gắn đèn không Balat 0m6 Rạng Đông,Cái,32358
MANGDENDOI-1M2,Máng đèn đôi không Balat 1m2 Rạng Đông,Cái,153678
MANGDENDON-1M2,Máng đơn không Balat 1m2 Rạng Đông,Cái,28600
MAT1CBSINO,Mặt 1CB Sino kiểu M-S18VL S18121/M,Cái,11029
MAT1LOSINO,Mặt 1 lỗ Sino S181/X,Cái,10770
MAT1TB,Mặt cho 1 thiết bị Size S CONCEPT (3001-G19),Cái,10264
MAT1TBZ,Mặt che cho 1 thiết bị SizeS ZENCELO A (A8401S-SZ-G19),Cái,34634
MAT2CBSINO,Mặt 2CB Sino kiểu M-S18VL S18122/M,Cái,9375
MAT2CBZ,Mặt cho MCB 2 cực ZENCELO (A8402MCB-SZ-G19),Cái,19296
MAT2LOSINO,Mặt 2 lỗ Sino S182/X,Cái,10075
MAT2TB,Mặt cho 2 thiết bị Size S CONCEPT (A3002-G19),Cái,15153
MAT2TBZ,Mặt che cho 2 thiết bị Size S ZENCELO A (A8402S-SZ-G19),Cái,63800
MAT3LOSINO,Mặt 3 lỗ SINO S183/X,Cái,10313
MAT3TB,Mặt cho 3  thiết bị Size S CONCEPT (A3000-G19),Cái,11557
MAT3TBZ,Mặt che cho 3 thiết bị Size S ZENCELO A (A8401L-SZ-G19),Cái,33060
MAT4LOSINO,Mặt 4 lỗ SINO S184/X,Cái,12892
MAT5LOSINO,Mặt 5 lỗ SINO S185/X,Cái,12000
MAT6LOSINO,Mặt 6 lỗ SINO S186/X,Cái,12000
MATBICHVAIKEP110,"Mặt bích,vai bích kép 110 BMVN",Cái,1160460
MATBICHVAIKEP63,"Mặt bích,vai bích kép 63",Cái,586548
MATBICHVAIKEP75,"Mặt bích,vai bích kép 75 BMVN",Cái,745956
MATCAUDAOZ,Mặt cho cầu dao an toàn ZENCELO A (A8401SB-SZ-G19),Cái,13854
MATCB1CUC,Mặt cho MCB 1 cực CONCEPT(A3001MBC-WE-G19),Cái,12760
MATCB1Z,Mặt cho MCB 1 cực ZENCELO (A8401MCB-SZ-G19),Cái,31900
MATCB2CUC,Mặt cho MCB 2 cực CONCEPT(A3002MBC-WE-G19),Cái,12760
MATCBCOC,Mặt CB Cóc Lioa,Cái,6580
MATCHETRONSINOS180,Mặt che trơn SINO S180,Cái,9375
MAYBOM150W,MÁY BƠM 150W TĂNG ÁP NƯƠC NÓNG LANDISI,Cái,1090000
MAYBOM200A,Máy Bơm HREKEN 200W,Cái,1804242
MAYBOM200AHEKEN,máy bơm thông minh 200 A Rheken không hộp,Cái,753107
MAYBOM300A,Bơm  tăng áp 300A RHEKEN CAMEL,Cái,989646
MAYBOM400A,Bơm tăng áp 400A,Cái,2498000
MAYBOMBIENTAN,Máy bơm biến tần 350W,Cái,2455700
MAYBOMBT400A RHEKEN,Máy bơm nươc biến tần 400 W hiệu Rheken,Cái.,3009000
MAYBOMCAMEL200A,Máy bơm tăng áp camel 200 A,Cái,4863108
MAYBOMDAY,Máy Bơm Đẩy APOLO 1000W,Cái,1629920
MAYBOMĐẨY 200W,Bơm đẩy cao hiệu AP 200W,Cái,684000
MAYHANNHIET,Máy hàn nhiệt,Máy,220000
MAYTAM300L,Máy tấm nước nóng NLMT 300 lít  (304),Bộ,0
MNd253/4BM,Măng sông ren ngoài Ø 25*3/4 PP-R BM,Cái,67608
MNd50BM,Măng sông ren ngoài Ø 50*1.1/2 PP-R BM,Cái,478500
MND75PPRBM,Măng sông ren ngoài Ø 75 PPR BM,Cái,1595000
MOCAO,Móc Áo,Cái,24000
MSd20BM,Măng sông (Nối) Ø 20 PP-R BM,Cái,83642
MSd25BM,Măng sông (Nối) Ø 25 PP-R BM,Cái,5280
MSd32BM,Măng sông (Nối) Ø 32 PP-R BM,Cái,8140
MSd40BM,Măng sông (Nối) Ø 40 PP-R BM,Cái,46188
MSd50BM,Măng sông (Nối) Ø 50 PP-R BM,Cái,30554
MSRTINOX27,Măng sông ren trong inox 27,Cái,22000
MSRTINOX34,Măng sông ren trong inox 34,Cái,48000
MSRTINOX49,Măng sông ren trong inox 49,Cái,91000
MTd201/2BM,Măng sông ren trong Ø 20*1/2 PP-R BM,Cái,26572
N,Nố,Cái,0
n000,Nố,Cái,0
N012,N,Cái,18340
N25HDPE,Nối 25 HDPE,Cái,40000
N-3,N,Cái,40000
NAPCHE,Nắp che công tắc ngoài trời,Cái,67321
NB114BM,Nút bịt (nắp khoá) BM Ø 114 dày,Cái,60363
NB114TH,Nút bịt Ø 114 TH,Cái,4560
NB140RM,Nút bịt Ø 140,Cái,6581
NB168RM,Nút bịt Ø 168,Cái,19465
NB200PVC,Nút bịt Ø 200 PVC,Cái,66800
NB20PPRBM,Nút bịt Ø 20 PP-R BM,Cái,3223
NB21BM,Nút bịt (nắp khoá) BM Ø 21 dày,Cái,397
NB21TH,Nút bịt Ø 21 TH,Cái,579
NB220D,Nút bịt Ø 220,Cái,53062
NB25PPRBM,Nút bịt Ø 25 PP-R BM,Cái,1610
NB27BM,Nút bịt (nắp khoá) BM Ø 27 dày,Cái,629
NB27TH,Nút bịt Ø 27 TH,Cái,394
NB32PPRBM,Nút bịt Ø 32 PP-R BM,Cái,5376
NB34BM,Nút bịt (nắp khoá) BM Ø 34 dày,Cái,186
NB34TH,Nút bịt Ø 34 TH,Cái,338
NB40PPRBM,Nút bịt Ø 40 PP-R BM,Cái,9939
NB42BM,Nút bịt (nắp khoá) BM Ø 42 dày,Cái,4524
NB42TH,Nút bịt Ø 42 TH,Cái,527
NB49BM,Nút bịt (nắp khoá) BM Ø 49 dày,Cái,1642
NB49TH,Nút bịt Ø 49 TH,Cái,2235
NB50PPRBM,Nút bịt Ø 50 PP-R BM,Cái,48620
NB60BM,Nút bịt (nắp khoá) BM Ø 60 dày,Cái,669
NB60TH,Nút bịt Ø 60 TH,Cái,1056
NB63PPRBM,Nút bịt  Ø 63  PP-R BM,Cái,75871
NB75PPRBM,Nút bịt  Ø 75  PP-R BMVN,Cái,180576
NB90BM,Nút bịt (nắp khoá) BM Ø 90 dày,Cái,28062
NB90TH,Nút bịt Ø 90 TH,Cái,2630
NBCAOSU25MONG,Nút bịt Cao su 25 (Mỏng),Cái,0
NBCS25,Nút bịt cao su D25 (Dầy),Cái,1295
NBD110BM,Nút bịt  Ø 110  PP-R BMSX,Cái,198000
NBLLON,Nắp bồn lạnh lớn,Cái,106897
NBRN20PPR,Nút bịt ren ngoài 20 PPR BM (Nắp khóa),Cái,5619
NBRN21BM,Nút bịt RN BM Ø 21,Cái,665
NBRN27BMD,Nút bịt ren ngoài 27 BM,Cái,1122
NBRN27INOX,Nút bịt ren ngoài 27 INOX,Cái,18889
NBRN34,Nút bịt ren ngoài 34,Cái,1175
NBRN34THAU,Nút bịt RN thau 34,Cái,38458
NBRN42INOX,Nút bịt RN 42 INOX,Cái,36500
NBRN49INOX,Nút bịt Thau Ren 49 INOX,Cái,49594
NBRN60inox,Nút bịt RN60 inox,Cái,65727
NBRT21BM,Nút bịt RT Ø 21 BM,Cái,1025
NBRT21INOX,Nút bịt ren trong INOX 21,Cái,14800
NBRT27INOX,Nút bịt ren trong 27 INOX,Cái,1386395
NBRT34,Nút bịt ren trong 34,Cái,4644
NBRT42INOX,Nút bịt ren trong 42 INOX,Cái,32917
NBRT49INOX,Nút bịt RT INOX 49,Cái,59344
NBRTINOX50,Nút bịt RT INox 50,Cái,0
NBRTTHAU34,Nút bịt RT thau 34,Cái,21600
NBRTTHAU49,Nút bịt RN thau 49,Cái,0
nc,Nh,Cái,200000
NC03,Nhân công,Công,1
NEP2.5MM-GA30SINO,Nẹp vuông Sino 2.5 mm - GA30 (2m/1 cây),Cây,41685
NEP2MM-GA24SINO,Nẹp vuông Sino 2mm - GA24 (2m/1 cây),Cây,17657
NEP5MM-GA60/01SINO,Nẹp vuông Sino 5 mm - GA60/01 (2m/1 cây),Cây,37696
NG,N,Cái,0
NG0,Nối,Cái,68000
NG00,N,Cái,19800
ng001,N,Cái,0
NG1,C,Cái,183060
NG114/27RM,Nối giảm 114/27 RM,Cái,0
NG114/34BMD,Nối giảm 114/34 BM,Cái,12113
NG114/34ĐHD,Nối giảm 114/34 ĐH dầy,Cái,158294
NG114/34DHM,Nối giảm 114/34 Đạt hòa mỏng,Cái,16540
NG114/34RM,Nối giảm Ø 114/34 RM,Cái,0
NG114/42DH,Nối giảm  Ø 114/42 Đạt Hòa Mỏng,Cái,16761
NG114/42DHD,Nối giảm  Ø 114/42  dầy,Cái,16458
NG114/42RM,Nối giảm Ø 114/42 RM,Cái,0
NG114/60BMD,Nối giảm BM Ø 114/60 dày,Cái,40001
NG114/60BMM,Nối giảm BM Ø 114/60 PN6,Cái,12802
NG114/90BMD,Nối giảm  Ø 114/90 BM dày,Cái,32964
NG114/90BMM,Nối giảm Ø 114/90 BM,Cái,15130
NG140/114BM,Nối giảm 140/114 BM,Cái,44550
NG140/90,Nối giảm Ø 140/90,Cái,25920
NG140/90BMTC,Nối giảm 140/90 BM TC,Cái,125057
NG168/114BM,Nối giảm Ø 168/114 BM,Cái,52890
NG168/140,Nối giảm  Ø 168/140,Cái,62095
NG168/90BM,Nối giảm 168/90 BM,Cái,151066
NG2,N,Cái,8690
NG220/114BM,Nối giảm Ø 220 x 114 PN6 BM,Cái,277788
NG220/168BMTC,Nối giảm Ø 220 x 168 BM TC,Cái,766908
NG25/20PPRVN,Nối giảm Ø 25/20 PP-R BM VN,Cái,1296
NG27/21BM,Nối giảm Ø 27/21 BM,Cái,1850
NG32/20PPRVN,Nối giảm Ø 32/20 PP-R BMVN,Cái,5463
NG32/25PL,Nối giảm Ø 32/25 PP-R PIPELIFE,Cái,16720
NG32/25PPRVN,Nối giảm  Ø 32/25 PPR BM VN,Cái,2704
NG34/21BM,Nối giảm Ø 34/21 BM,Cái,4322
NG34/27BM,Nối giảm Ø 34/27 BM,Cái,2001
NG40/25PPRVN,Nối giảm Ø 40/25 PP-R BM VN,Cái,3945
NG42/21BM,Nối giảm Ø 42/21 BM,Cái,3289
NG42/27BM,Nối giảm Ø 42/27 BM,Cái,1088
NG42/34BM,Nối giảm Ø 42/34 BM,Cái,5440
NG49/21BM,Nối giảm Ø 49/21 BM,Cái,4663
NG49/21BM.,Nối giảm Ø 49/21 BM,Cái,6443
NG49/27BM,Nối giảm Ø 49/27 BM,Cái,4945
NG49/34BM,Nối giảm  Ø 49/34 BM,Cái,5194
NG49/42BM,Nối giảm Ø 49/42 BM,Cái,5912
NG50/25PPRVN,Nối giảm  Ø 50/25 PP-R BM VN,Cái,8841
NG50/32BM,Côn thu (Nối giảm)  Ø 50/32 PP-R BM,Cái,5910
NG50/40BM,Côn thu (Nối giảm)  Ø 50/40 PP-R BM,Cái,7885
